,OpenTime,MATIC-USD_Open,MATIC-USD_High,MATIC-USD_Low,MATIC-USD_Close,MATIC-USD_volume,CloseTime,MATIC-QuoteAssetVolume,MATIC-NumberOfTrades,MATIC-TBBAV,MATIC-TBQAV,MATIC-ignore
0,2023-01-01 01:00:00,0.7584,0.7584,0.7488,0.752,4580863.6,2023-01-01 04:59:59.999,3445679.67484,9045.0,2318233.1,1743693.85829,0.0
1,2023-01-01 05:00:00,0.752,0.754,0.7477,0.753,2834269.7,2023-01-01 08:59:59.999,2129146.34676,5783.0,1378321.6,1035423.7532,0.0
2,2023-01-01 09:00:00,0.7529,0.758,0.7524,0.7572,2399072.2,2023-01-01 12:59:59.999,1811805.95345,5303.0,1177029.7,888841.62836,0.0
3,2023-01-01 13:00:00,0.7572,0.7596,0.7538,0.7585,2266480.0,2023-01-01 16:59:59.999,1714909.69476,5346.0,1094322.6,827948.25814,0.0
4,2023-01-01 17:00:00,0.7585,0.7619,0.7558,0.7598,3615503.8,2023-01-01 20:59:59.999,2747045.59675,7032.0,1761016.1,1337949.50269,0.0
5,2023-01-01 21:00:00,0.7599,0.7627,0.7566,0.7603,2825355.2,2023-01-02 00:59:59.999,2145944.73302,5471.0,1395187.8,1059768.16316,0.0
6,2023-01-02 01:00:00,0.7601,0.761,0.7493,0.7558,7118561.0,2023-01-02 04:59:59.999,5358109.15961,10308.0,3328428.9,2505500.05353,0.0
7,2023-01-02 05:00:00,0.7558,0.7737,0.7528,0.7702,8850027.3,2023-01-02 08:59:59.999,6759462.91774,15315.0,4836277.9,3693249.70745,0.0
8,2023-01-02 09:00:00,0.7702,0.782,0.7702,0.7785,9179055.3,2023-01-02 12:59:59.999,7141512.7398,16371.0,4824198.5,3753770.72327,0.0
9,2023-01-02 13:00:00,0.7784,0.7861,0.7762,0.785,7046471.4,2023-01-02 16:59:59.999,5499479.49312,13323.0,3949949.8,3083171.76968,0.0
10,2023-01-02 17:00:00,0.785,0.7866,0.7793,0.7844,5207635.9,2023-01-02 20:59:59.999,4077486.92457,9750.0,2754107.4,2156745.68002,0.0
11,2023-01-02 21:00:00,0.7844,0.7907,0.7791,0.7809,6300075.3,2023-01-03 00:59:59.999,4938976.24625,10533.0,2991427.7,2345879.30922,0.0
12,2023-01-03 01:00:00,0.7809,0.7841,0.7765,0.7818,5569818.5,2023-01-03 04:59:59.999,4343547.79803,8476.0,2686006.8,2094861.51277,0.0
13,2023-01-03 05:00:00,0.7819,0.7885,0.7789,0.7842,4205131.3,2023-01-03 08:59:59.999,3295840.88388,8265.0,1943873.3,1523326.7955,0.0
14,2023-01-03 09:00:00,0.7842,0.7857,0.7791,0.7801,4014855.9,2023-01-03 12:59:59.999,3141786.61528,8289.0,1851755.6,1448921.57608,0.0
15,2023-01-03 13:00:00,0.7802,0.7865,0.7759,0.7806,8738781.2,2023-01-03 16:59:59.999,6826339.29734,13905.0,4236458.6,3308995.94912,0.0
16,2023-01-03 17:00:00,0.7805,0.7823,0.7714,0.7746,7170789.6,2023-01-03 20:59:59.999,5563195.60775,14901.0,3299694.2,2559638.45788,0.0
17,2023-01-03 21:00:00,0.7747,0.7813,0.774,0.7798,5074004.8,2023-01-04 00:59:59.999,3940827.39379,11207.0,2503060.8,1944259.64616,0.0
18,2023-01-04 01:00:00,0.7797,0.8104,0.7772,0.8017,20025466.5,2023-01-04 04:59:59.999,15950713.21678,32560.0,10263356.5,8173189.03993,0.0
19,2023-01-04 05:00:00,0.8017,0.8073,0.7992,0.8053,9491842.0,2023-01-04 08:59:59.999,7618953.35733,14112.0,5399807.0,4334697.02618,0.0
20,2023-01-04 09:00:00,0.8054,0.8088,0.8,0.8011,5934078.5,2023-01-04 12:59:59.999,4766375.6434,10575.0,2779486.6,2232635.76374,0.0
