,OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore
0,2023-01-01 01:00:00,1196.13,1196.7,1192.72,1194.09,5889.384,2023-01-01 01:59:59.999,7036229.662778,15832.0,2550.8294,3046971.697395,0.0
1,2023-01-01 02:00:00,1194.09,1196.37,1193.84,1196.02,3157.2079,2023-01-01 02:59:59.999,3773474.994579,8245.0,1583.8715,1892939.782829,0.0
2,2023-01-01 03:00:00,1196.01,1196.74,1194.11,1195.4,3752.0476,2023-01-01 03:59:59.999,4484632.175954,8377.0,1771.7331,2117551.972758,0.0
3,2023-01-01 04:00:00,1195.41,1195.41,1191.71,1194.04,7493.4207,2023-01-01 04:59:59.999,8941606.828967,10244.0,3409.5492,4068125.506566,0.0
4,2023-01-01 05:00:00,1194.05,1194.05,1190.57,1192.92,6409.2491,2023-01-01 05:59:59.999,7641846.882229,10211.0,2832.3239,3377224.723354,0.0
5,2023-01-01 06:00:00,1192.92,1194.67,1192.71,1194.54,2316.3448,2023-01-01 06:59:59.999,2765081.23703,7332.0,1203.6576,1436771.218447,0.0
6,2023-01-01 07:00:00,1194.55,1195.23,1193.81,1194.81,4102.0957,2023-01-01 07:59:59.999,4899784.445077,12437.0,2464.4186,2943526.943054,0.0
7,2023-01-01 08:00:00,1194.81,1195.75,1193.04,1195.06,5826.7698,2023-01-01 08:59:59.999,6960068.323581,10202.0,2978.3992,3557578.371255,0.0
8,2023-01-01 09:00:00,1195.07,1195.9,1194.17,1194.28,3124.6022,2023-01-01 09:59:59.999,3734149.847429,7964.0,1508.1465,1802224.457374,0.0
9,2023-01-01 10:00:00,1194.27,1196.55,1193.98,1196.48,2763.9478,2023-01-01 10:59:59.999,3303313.973067,8452.0,1498.1619,1790406.736775,0.0
10,2023-01-01 11:00:00,1196.47,1197.19,1195.59,1197.14,2006.5809,2023-01-01 11:59:59.999,2400028.446332,7025.0,1017.4945,1216995.71412,0.0
