OpenTime,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_volume,CloseTime,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
2023-01-01 01:00:00,16541.77,16559.77,16508.39,16533.04,15515.82327,2023-01-01 04:59:59.999,256565046.2444078,529532.0,7617.41262,125959681.2280884,0.0
2023-01-01 05:00:00,16533.04,16550.0,16499.01,16526.19,16532.24115,2023-01-01 08:59:59.999,273208014.1886723,502695.0,8215.80952,135772740.0324628,0.0
2023-01-01 09:00:00,16525.7,16557.0,16505.2,16556.66,15915.96701,2023-01-01 12:59:59.999,263119992.1962964,531758.0,8004.23188,132326590.6029873,0.0
2023-01-01 13:00:00,16556.66,16572.94,16533.68,16558.73,15046.09096,2023-01-01 16:59:59.999,249044515.3848469,520676.0,7515.69523,124401941.5415333,0.0
2023-01-01 17:00:00,16558.73,16623.65,16558.0,16603.08,18532.64857,2023-01-01 20:59:59.999,307401962.5247667,594496.0,9437.40515,156541081.5214632,0.0
2023-01-01 21:00:00,16603.53,16628.0,16586.24,16616.75,15382.64278,2023-01-02 00:59:59.999,255454259.1382225,539198.0,7758.22728,128839638.9085237,0.0
2023-01-02 01:00:00,16617.17,16707.25,16548.7,16661.94,19463.4751,2023-01-02 04:59:59.999,323032602.879277,619992.0,9720.70175,161345530.7256786,0.0
2023-01-02 05:00:00,16662.38,16769.51,16619.44,16721.28,26026.88178,2023-01-02 08:59:59.999,434177885.6099709,777019.0,12891.53976,215065867.8637376,0.0
2023-01-02 09:00:00,16721.27,16772.01,16704.07,16735.11,23267.94119,2023-01-02 12:59:59.999,389312521.3750265,799698.0,11767.58225,196896293.3073268,0.0
2023-01-02 13:00:00,16735.51,16750.0,16669.15,16734.66,21747.21491,2023-01-02 16:59:59.999,363473571.0233938,755940.0,10798.2082,180482354.7526204,0.0
2023-01-02 17:00:00,16734.66,16739.64,16707.12,16737.56,12314.73653,2023-01-02 20:59:59.999,205920047.2510092,503108.0,6289.51015,105169928.0648383,0.0
2023-01-02 21:00:00,16737.56,16799.23,16660.51,16672.87,19068.3224,2023-01-03 00:59:59.999,318766587.129201,580361.0,9457.71737,158114805.9776046,0.0
2023-01-03 01:00:00,16672.78,16706.14,16647.81,16691.81,20183.45596,2023-01-03 04:59:59.999,336660106.4140583,702462.0,10154.58549,169379197.432333,0.0
2023-01-03 05:00:00,16691.81,16778.4,16681.79,16729.74,21434.34333,2023-01-03 08:59:59.999,358362836.1081618,787280.0,10732.87193,179446504.9733487,0.0
2023-01-03 09:00:00,16730.15,16766.0,16698.15,16721.03,25576.16376,2023-01-03 12:59:59.999,427836488.1729676,856872.0,12695.61047,212375854.6928335,0.0
2023-01-03 13:00:00,16721.42,16773.0,16617.79,16676.94,42131.78382,2023-01-03 16:59:59.999,703745447.451747,1164560.0,20826.94352,347885296.8543492,0.0
2023-01-03 17:00:00,16677.54,16688.2,16605.28,16643.37,29519.13275,2023-01-03 20:59:59.999,491222512.9768744,909049.0,14690.13711,244457833.6230517,0.0
2023-01-03 21:00:00,16643.77,16695.0,16640.4,16675.18,20696.65771,2023-01-04 00:59:59.999,344938525.2018594,677373.0,10495.61394,174926715.1377585,0.0
2023-01-04 01:00:00,16675.65,16877.65,16652.66,16862.02,41904.57254,2023-01-04 04:59:59.999,702057787.4432657,1113721.0,21284.89731,356598402.1931332,0.0
2023-01-04 05:00:00,16862.61,16910.98,16840.36,16869.44,30270.2531,2023-01-04 08:59:59.999,510489950.3543592,974211.0,15129.39607,255153370.4009608,0.0
2023-01-04 09:00:00,16869.49,16919.0,16831.13,16835.35,30320.64004,2023-01-04 12:59:59.999,511054018.7665619,964344.0,15017.09692,253121364.8210666,0.0
2023-01-04 13:00:00,16835.35,16863.09,16765.3,16854.05,40843.05953,2023-01-04 16:59:59.999,687050576.8205386,1154970.0,20189.79426,339633493.7582416,0.0
2023-01-04 17:00:00,16853.55,16991.87,16787.85,16842.36,52076.35176,2023-01-04 20:59:59.999,879406879.4646622,1357745.0,25673.10055,433568519.8929489,0.0
2023-01-04 21:00:00,16842.32,16869.56,16777.0,16850.36,24947.31165,2023-01-05 00:59:59.999,419773996.9959776,745712.0,12452.82991,209541860.3190259,0.0
2023-01-05 01:00:00,16850.36,16878.18,16807.72,16827.71,21763.76721,2023-01-05 04:59:59.999,366480779.5479357,739990.0,10691.35832,180035180.9825203,0.0
2023-01-05 05:00:00,16827.71,16849.37,16789.87,16823.64,21213.55835,2023-01-05 08:59:59.999,356953889.52533,659873.0,10524.65393,177096686.6514992,0.0
2023-01-05 09:00:00,16823.05,16839.0,16780.75,16833.6,26296.22105,2023-01-05 12:59:59.999,442148515.7460473,776702.0,13270.54755,223138254.2204753,0.0
2023-01-05 13:00:00,16833.6,16879.82,16753.0,16842.94,41963.23448,2023-01-05 16:59:59.999,705775474.6133374,1146141.0,20962.26178,352570597.8106167,0.0
2023-01-05 17:00:00,16842.94,16875.5,16800.5,16863.85,30157.4645,2023-01-05 20:59:59.999,507765572.7595233,858941.0,14769.16231,248673476.5414828,0.0
2023-01-05 21:00:00,16864.29,16873.52,16818.91,16831.85,22079.32082,2023-01-06 00:59:59.999,371956021.6255597,660367.0,10741.58773,180957557.8467049,0.0
2023-01-06 01:00:00,16831.85,16872.57,16802.01,16833.56,22896.56633,2023-01-06 04:59:59.999,385537449.3564089,663651.0,11290.03163,190108924.5108948,0.0
2023-01-06 05:00:00,16833.56,16837.87,16779.96,16794.06,24759.51652,2023-01-06 08:59:59.999,416109442.9444728,667637.0,12222.13933,205403431.8288452,0.0
2023-01-06 09:00:00,16794.33,16812.22,16709.88,16738.22,29976.56156,2023-01-06 12:59:59.999,502807373.1858201,819541.0,14555.96629,244162834.2641379,0.0
