OpenTime,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_volume,CloseTime,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
2022-01-01 01:00:00,46216.93,46949.99,46208.37,46813.2,3495.20465,2022-01-01 04:59:59.999,163091065.3906645,114726.0,1751.87928,81717413.2358742,0.0
2022-01-01 05:00:00,46813.21,47555.55,46591.23,47194.73,3522.79888,2022-01-01 08:59:59.999,165801706.892853,115150.0,1764.44663,83063078.9201672,0.0
2022-01-01 09:00:00,47194.73,47344.69,46715.39,46758.87,2729.67811,2022-01-01 12:59:59.999,128308435.2124345,109398.0,1311.57332,61656843.3588232,0.0
2022-01-01 13:00:00,46758.87,47491.14,46756.3,47219.04,3055.90946,2022-01-01 16:59:59.999,143990904.7120997,109116.0,1551.05367,73095542.2668622,0.0
2022-01-01 17:00:00,47219.04,47954.63,47186.07,47329.78,4061.67681,2022-01-01 20:59:59.999,193002811.553393,154496.0,2050.68014,97434848.95431,0.0
2022-01-01 21:00:00,47329.79,47814.0,47222.22,47722.65,2739.19534,2022-01-02 00:59:59.999,129960235.8220418,112013.0,1512.73375,71770985.0540697,0.0
2022-01-02 01:00:00,47722.66,47750.0,47269.47,47329.47,2387.90724,2022-01-02 04:59:59.999,113376284.2416199,101813.0,1176.65983,55871764.9838521,0.0
2022-01-02 05:00:00,47329.47,47415.73,46770.23,47173.45,3018.46827,2022-01-02 08:59:59.999,142113693.8428281,100758.0,1504.17008,70820619.2162091,0.0
2022-01-02 09:00:00,47173.44,47499.45,46970.05,47235.5,2119.84865,2022-01-02 12:59:59.999,100173866.5413478,101881.0,1050.27359,49636995.0469847,0.0
2022-01-02 13:00:00,47238.89,47447.0,47013.5,47340.47,2780.32874,2022-01-02 16:59:59.999,131207447.4674979,125248.0,1401.01766,66115491.8194888,0.0
2022-01-02 17:00:00,47340.47,47990.0,46654.0,46907.68,5597.88593,2022-01-02 20:59:59.999,264826589.6999365,181970.0,2788.0903,131934820.6580309,0.0
2022-01-02 21:00:00,46907.67,47469.34,46815.17,47286.18,2436.02157,2022-01-03 00:59:59.999,114913113.770128,97954.0,1246.25808,58802700.557381,0.0
2022-01-03 01:00:00,47286.18,47289.11,46722.39,46793.26,2994.31942,2022-01-03 04:59:59.999,140749529.9799875,109984.0,1491.64827,70113557.3012748,0.0
2022-01-03 05:00:00,46793.27,47211.09,46750.0,47051.37,2838.97703,2022-01-03 08:59:59.999,133281583.6354787,97987.0,1456.30976,68365339.5323057,0.0
2022-01-03 09:00:00,47051.36,47431.67,46778.0,47378.0,4262.39073,2022-01-03 12:59:59.999,200855946.9525273,137414.0,2110.71365,99471931.0286758,0.0
2022-01-03 13:00:00,47378.0,47570.0,46575.25,46693.45,5463.72051,2022-01-03 16:59:59.999,257099656.2555633,180099.0,2618.53427,123242922.8665457,0.0
2022-01-03 17:00:00,46693.44,46790.0,46263.29,46360.01,5861.46189,2022-01-03 20:59:59.999,272545582.2002183,179290.0,2932.69022,136341606.9350749,0.0
2022-01-03 21:00:00,46360.01,46576.94,45696.0,46446.1,6241.20752,2022-01-04 00:59:59.999,287671209.3018798,180850.0,2914.86428,134344072.4504031,0.0
2022-01-04 01:00:00,46446.1,46549.19,45934.5,46313.97,3604.76267,2022-01-04 04:59:59.999,166602519.7660624,130828.0,1827.13725,84443334.3624598,0.0
2022-01-04 05:00:00,46313.96,46600.21,45996.26,46550.0,5734.35172,2022-01-04 08:59:59.999,265234310.4432469,136897.0,3204.9997,148164952.2450318,0.0
2022-01-04 09:00:00,46549.99,46772.41,46300.0,46733.77,4686.5322,2022-01-04 12:59:59.999,218257618.2606734,142059.0,2249.00814,104751556.7178377,0.0
2022-01-04 13:00:00,46733.78,47557.54,46410.0,46925.35,8065.90334,2022-01-04 16:59:59.999,379900780.0615092,226932.0,3874.09938,182399123.576509,0.0
2022-01-04 17:00:00,46925.34,46984.99,45500.0,46052.36,9855.45649,2022-01-04 20:59:59.999,455708222.0716415,251705.0,4787.81648,221431092.8929252,0.0
2022-01-04 21:00:00,46052.35,46428.27,45760.05,45832.01,3544.40718,2022-01-05 00:59:59.999,163466973.52448,133394.0,1746.20713,80535403.286044,0.0
2022-01-05 01:00:00,45832.01,46549.0,45722.21,46422.55,3034.64069,2022-01-05 04:59:59.999,140277234.8224053,115147.0,1563.87713,72295154.7149113,0.0
2022-01-05 05:00:00,46422.56,46527.39,46246.01,46407.51,2185.03432,2022-01-05 08:59:59.999,101325309.90262,93500.0,1046.55767,48536422.0607705,0.0
2022-01-05 09:00:00,46407.5,47070.0,46110.0,46270.99,5623.80527,2022-01-05 12:59:59.999,262428290.3172613,161604.0,2730.5634,127441429.2254661,0.0
2022-01-05 13:00:00,46271.0,46822.17,45803.67,46622.53,6056.26257,2022-01-05 16:59:59.999,280740140.8062468,192464.0,2952.618,136917103.7224903,0.0
2022-01-05 17:00:00,46622.53,46674.37,44500.0,44685.93,13258.75934,2022-01-05 20:59:59.999,604054562.4737358,339814.0,5634.73138,256936443.3502955,0.0
2022-01-05 21:00:00,44685.93,44847.99,42500.0,43451.13,21625.61638,2022-01-06 00:59:59.999,945463006.3231792,576003.0,9624.64702,421160673.2832077,0.0
2022-01-06 01:00:00,43451.14,43816.0,42803.37,42835.0,7907.29623,2022-01-06 04:59:59.999,343015551.7682014,214285.0,3746.6858,162529116.2892021,0.0
2022-01-06 05:00:00,42835.0,43275.8,42600.05,43245.25,7148.39091,2022-01-06 08:59:59.999,307375790.9348999,195164.0,3702.21287,159210287.4246987,0.0
2022-01-06 09:00:00,43245.26,43273.87,42430.58,42878.34,7751.7942,2022-01-06 12:59:59.999,332035730.8265584,230511.0,3672.95982,157343899.8743642,0.0
2022-01-06 13:00:00,42878.33,43267.09,42632.44,42950.01,7414.23595,2022-01-06 16:59:59.999,318391951.4275195,220623.0,3686.39602,158296562.9027206,0.0
2022-01-06 17:00:00,42950.02,43508.78,42725.09,43438.1,5500.53168,2022-01-06 20:59:59.999,237146984.7688911,172318.0,2934.10378,126523327.4672218,0.0
2022-01-06 21:00:00,43438.11,43581.3,43007.81,43082.31,3158.12408,2022-01-07 00:59:59.999,136500144.7122623,117806.0,1526.46833,65983367.8679379,0.0
2022-01-07 01:00:00,43082.3,43145.83,41577.77,41803.11,9110.36283,2022-01-07 04:59:59.999,385914470.7673892,241863.0,3977.32813,168585121.0273447,0.0
2022-01-07 05:00:00,41803.11,41950.0,41000.0,41706.71,12822.5044,2022-01-07 08:59:59.999,532626431.2147681,295716.0,6213.47615,258165281.3527148,0.0
2022-01-07 09:00:00,41706.71,42883.47,41607.5,42258.62,7627.20984,2022-01-07 12:59:59.999,322445548.9704343,210663.0,4063.31942,171804552.2179514,0.0
2022-01-07 13:00:00,42258.62,42766.17,40610.0,41319.11,13946.04637,2022-01-07 16:59:59.999,580820637.196171,324864.0,6533.92295,272419889.5082927,0.0
