,OpenTime,ADA-USD_Open,ADA-USD_High,ADA-USD_Low,ADA-USD_Close,ADA-USD_volume,CloseTime,ADA-QuoteAssetVolume,ADA-NumberOfTrades,ADA-TBBAV,ADA-TBQAV,ADA-ignore
0,2022-01-01 01:00:00,1.308,1.338,1.307,1.325,10338558.6,2022-01-01 04:59:59.999,13710876.7293,21814.0,5842627.5,7748145.4086,0.0
1,2022-01-01 05:00:00,1.325,1.338,1.306,1.325,11961572.6,2022-01-01 08:59:59.999,15812841.7544,27995.0,5909278.6,7811179.3285,0.0
2,2022-01-01 09:00:00,1.325,1.333,1.31,1.319,8416837.2,2022-01-01 12:59:59.999,11135512.3074,20980.0,4196378.2,5553678.4899,0.0
3,2022-01-01 13:00:00,1.319,1.34,1.318,1.333,10159937.3,2022-01-01 16:59:59.999,13525422.3164,23465.0,4970223.1,6617831.9022,0.0
4,2022-01-01 17:00:00,1.334,1.35,1.33,1.346,12702370.5,2022-01-01 20:59:59.999,17026276.7556,27950.0,6800064.8,9116517.9801,0.0
5,2022-01-01 21:00:00,1.347,1.38,1.344,1.38,15428331.3,2022-01-02 00:59:59.999,21000808.1035,37374.0,7824451.0,10653243.403,0.0
6,2022-01-02 01:00:00,1.379,1.382,1.35,1.356,10271794.6,2022-01-02 04:59:59.999,14002112.2887,25612.0,4706171.3,6414808.0661,0.0
7,2022-01-02 05:00:00,1.356,1.37,1.342,1.355,12683764.4,2022-01-02 08:59:59.999,17190466.151,27639.0,6205970.9,8415651.9019,0.0
8,2022-01-02 09:00:00,1.355,1.37,1.348,1.363,9971547.7,2022-01-02 12:59:59.999,13562544.0456,21489.0,5778797.2,7860089.1262,0.0
9,2022-01-02 13:00:00,1.363,1.375,1.355,1.37,12260484.9,2022-01-02 16:59:59.999,16734146.4608,25491.0,6719683.3,9177347.5292,0.0
10,2022-01-02 17:00:00,1.369,1.391,1.354,1.362,24371159.3,2022-01-02 20:59:59.999,33498067.045,54304.0,11758947.4,16163571.6503,0.0
11,2022-01-02 21:00:00,1.361,1.38,1.358,1.377,11453109.5,2022-01-03 00:59:59.999,15657719.5991,20713.0,5449376.6,7452637.6915,0.0
12,2022-01-03 01:00:00,1.378,1.378,1.345,1.35,11766056.6,2022-01-03 04:59:59.999,16014960.5244,26475.0,5018030.8,6829359.6145,0.0
13,2022-01-03 05:00:00,1.351,1.361,1.344,1.352,9283977.4,2022-01-03 08:59:59.999,12545417.201,18378.0,4705899.0,6360594.5524,0.0
