,OpenTime,LTC-USD_Open,LTC-USD_High,LTC-USD_Low,LTC-USD_Close,LTC-USD_volume,CloseTime,LTC-QuoteAssetVolume,LTC-NumberOfTrades,LTC-TBBAV,LTC-TBQAV,LTC-ignore
0,2022-01-01 01:00:00,146.2,151.0,146.1,150.8,225155.54,2022-01-02 00:59:59.999,33479057.5221,71058.0,112870.36,16785882.3013,0.0
1,2022-01-02 01:00:00,150.8,153.4,147.8,151.2,228350.087,2022-01-03 00:59:59.999,34351559.7419,76697.0,117184.124,17640676.9671,0.0
2,2022-01-03 01:00:00,151.1,151.2,146.0,148.5,291038.873,2022-01-04 00:59:59.999,43407161.3608,98334.0,141413.638,21099945.0103,0.0
3,2022-01-04 01:00:00,148.4,151.7,145.2,146.5,331705.663,2022-01-05 00:59:59.999,49331426.6989,102746.0,168663.823,25099315.2385,0.0
4,2022-01-05 01:00:00,146.5,150.0,129.8,135.4,601964.057,2022-01-06 00:59:59.999,85762767.2411,179121.0,278373.544,39705583.2235,0.0
5,2022-01-06 01:00:00,135.3,138.1,132.4,135.9,531427.357,2022-01-07 00:59:59.999,71938065.6187,131399.0,259721.72,35169301.1249,0.0
6,2022-01-07 01:00:00,135.9,136.5,125.9,131.4,733975.31191,2022-01-08 00:59:59.999,96720732.5891626,188649.0,355038.884,46794472.0306,0.0
7,2022-01-08 01:00:00,131.4,134.8,124.8,129.4,450291.35478,2022-01-09 00:59:59.999,58767538.4008487,120442.0,222919.476,29106853.1817,0.0
8,2022-01-09 01:00:00,129.4,132.6,127.7,130.9,321828.343,2022-01-10 00:59:59.999,41975958.0877,81126.0,163259.217,21300935.5135,0.0
9,2022-01-10 01:00:00,130.8,131.5,120.7,126.5,621002.30603,2022-01-11 00:59:59.999,78374235.1079836,139018.0,302181.753,38142165.7685,0.0
10,2022-01-11 01:00:00,126.6,133.5,125.7,131.6,396300.22,2022-01-12 00:59:59.999,51358756.3249,98375.0,194124.937,25156940.3209,0.0
11,2022-01-12 01:00:00,131.6,142.3,130.8,141.9,387745.567,2022-01-13 00:59:59.999,52843604.3844,114015.0,200388.984,27331325.0368,0.0
12,2022-01-13 01:00:00,142.0,142.4,134.6,136.7,462389.154,2022-01-14 00:59:59.999,63884795.9332,119269.0,231438.29,31967542.7457,0.0
13,2022-01-14 01:00:00,136.7,146.7,135.8,144.7,588107.752,2022-01-15 00:59:59.999,83337246.4487,143988.0,300073.421,42539804.4804,0.0
14,2022-01-15 01:00:00,144.7,150.7,144.0,147.7,461786.036,2022-01-16 00:59:59.999,68234093.5595,126411.0,230855.336,34130381.6568,0.0
15,2022-01-16 01:00:00,147.6,149.0,143.2,146.4,323952.665,2022-01-17 00:59:59.999,47287761.5219,89758.0,155697.406,22741126.1644,0.0
16,2022-01-17 01:00:00,146.4,153.9,144.1,151.2,809014.895,2022-01-18 00:59:59.999,120962062.7796,225768.0,421752.411,63097346.5605,0.0
17,2022-01-18 01:00:00,151.1,153.4,138.6,141.5,605404.359,2022-01-19 00:59:59.999,87107198.8397,161058.0,279223.477,40177157.4504,0.0
18,2022-01-19 01:00:00,141.4,143.0,133.2,136.2,437642.165,2022-01-20 00:59:59.999,59855431.9064,118375.0,216761.534,29662893.3209,0.0
19,2022-01-20 01:00:00,136.2,142.9,128.8,129.7,404805.365,2022-01-21 00:59:59.999,55766928.6231,115355.0,197678.902,27262069.3754,0.0
20,2022-01-21 01:00:00,129.6,131.1,109.8,114.5,1024703.15234,2022-01-22 00:59:59.999,123808200.9253654,240712.0,481022.06366,58157020.991336,0.0
21,2022-01-22 01:00:00,114.5,117.0,96.3,108.4,1345786.1907,2022-01-23 00:59:59.999,144289988.675799,295547.0,651384.1089,69891276.3913556,0.0
22,2022-01-23 01:00:00,108.4,112.8,105.6,112.3,588082.317,2022-01-24 00:59:59.999,63983936.7643,135293.0,298844.289,32519280.3509,0.0
23,2022-01-24 01:00:00,112.3,112.3,97.5,109.5,1098206.519,2022-01-25 00:59:59.999,113950869.2282,209267.0,554283.686,57553469.2453,0.0
24,2022-01-25 01:00:00,109.6,109.9,105.1,107.8,589373.563,2022-01-26 00:59:59.999,63516664.0674,122810.0,297340.601,32050119.8991,0.0
