,OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore
0,2022-01-01 01:00:00,3676.22,3748.45,3676.22,3723.96,26592.7693,2022-01-01 04:59:59.999,98971018.502221,68729.0,12690.593,47223156.549132,0.0
1,2022-01-01 05:00:00,3723.96,3765.27,3701.0,3715.31,27251.1401,2022-01-01 08:59:59.999,101513251.578493,69734.0,14352.0717,53454892.040179,0.0
2,2022-01-01 09:00:00,3715.32,3733.84,3673.46,3693.37,23727.9949,2022-01-01 12:59:59.999,87967580.812363,71729.0,11693.9466,43361888.88463,0.0
3,2022-01-01 13:00:00,3693.38,3745.36,3691.88,3725.3,27056.8064,2022-01-01 16:59:59.999,100521273.706789,65145.0,13130.1512,48784978.474111,0.0
4,2022-01-01 17:00:00,3725.29,3766.0,3718.71,3747.61,27250.4199,2022-01-01 20:59:59.999,102053049.186542,70143.0,14212.9761,53218200.787681,0.0
5,2022-01-01 21:00:00,3747.6,3776.45,3740.0,3765.54,22264.7662,2022-01-02 00:59:59.999,83692154.666336,63186.0,10858.2412,40812296.853191,0.0
6,2022-01-02 01:00:00,3765.54,3771.0,3741.8,3758.55,18383.5311,2022-01-02 04:59:59.999,69026777.409114,51575.0,8601.8696,32298066.735275,0.0
7,2022-01-02 05:00:00,3758.13,3761.92,3717.3,3747.22,19265.868,2022-01-02 08:59:59.999,72036260.451392,60430.0,9393.2688,35117252.047636,0.0
8,2022-01-02 09:00:00,3747.22,3770.0,3732.39,3744.01,16876.842,2022-01-02 12:59:59.999,63274879.383728,56651.0,9214.8627,34548359.524009,0.0
9,2022-01-02 13:00:00,3744.06,3790.38,3730.33,3778.17,24828.1498,2022-01-02 16:59:59.999,93294535.143549,74922.0,13568.407,50987651.062076,0.0
10,2022-01-02 17:00:00,3778.17,3857.44,3771.91,3798.72,54477.9169,2022-01-02 20:59:59.999,207710260.841567,139912.0,29195.4493,111359329.96655,0.0
11,2022-01-02 21:00:00,3799.0,3840.02,3794.24,3828.27,20959.1185,2022-01-03 00:59:59.999,80032244.50111,67120.0,11196.6479,42745944.407244,0.0
12,2022-01-03 01:00:00,3828.11,3828.79,3775.7,3785.0,31303.8631,2022-01-03 04:59:59.999,118985980.848921,85150.0,14559.0778,55348566.352206,0.0
13,2022-01-03 05:00:00,3785.24,3822.99,3780.3,3808.88,25284.967,2022-01-03 08:59:59.999,96179007.68701,66889.0,13336.1756,50731431.229269,0.0
14,2022-01-03 09:00:00,3808.88,3845.0,3789.66,3834.61,33876.1495,2022-01-03 12:59:59.999,129372813.769075,81600.0,18169.0734,69388689.623945,0.0
15,2022-01-03 13:00:00,3834.61,3853.09,3777.0,3784.04,45884.8092,2022-01-03 16:59:59.999,175064228.796631,108178.0,21915.3615,83627164.08698,0.0
16,2022-01-03 17:00:00,3784.04,3795.0,3735.2,3738.4,41527.3682,2022-01-03 20:59:59.999,156027961.858812,111501.0,19167.3501,72021349.255916,0.0
17,2022-01-03 21:00:00,3738.39,3778.67,3680.0,3765.89,58368.7016,2022-01-04 00:59:59.999,217314112.592545,141223.0,27378.5915,101967235.22834,0.0
18,2022-01-04 01:00:00,3765.89,3774.36,3713.11,3744.23,31746.5042,2022-01-04 04:59:59.999,118776864.924407,77967.0,15135.8442,56645580.170926,0.0
19,2022-01-04 05:00:00,3744.04,3764.53,3726.6,3763.87,23326.7065,2022-01-04 08:59:59.999,87370736.513438,62995.0,12151.4524,45524698.500379,0.0
20,2022-01-04 09:00:00,3763.88,3840.0,3757.58,3836.19,56266.2892,2022-01-04 12:59:59.999,213682674.814294,117044.0,29617.8225,112529906.407557,0.0
21,2022-01-04 13:00:00,3836.19,3900.73,3815.06,3849.52,70762.9494,2022-01-04 16:59:59.999,273100028.512558,162603.0,37499.5958,144773440.028142,0.0
22,2022-01-04 17:00:00,3849.51,3865.64,3758.4,3812.31,72941.027,2022-01-04 20:59:59.999,278654520.796274,165102.0,35986.7451,137468092.826502,0.0
23,2022-01-04 21:00:00,3812.05,3832.51,3783.89,3785.11,33215.0786,2022-01-05 00:59:59.999,126597782.364755,90940.0,17059.9685,65016483.828593,0.0
24,2022-01-05 01:00:00,3785.1,3826.05,3766.0,3809.45,28599.3967,2022-01-05 04:59:59.999,108711897.725358,76931.0,14079.1358,53518496.54844,0.0
25,2022-01-05 05:00:00,3809.44,3822.89,3797.49,3815.74,20741.083,2022-01-05 08:59:59.999,79041015.92143,62169.0,9615.1407,36644109.277471,0.0
26,2022-01-05 09:00:00,3815.73,3848.0,3781.42,3791.69,36435.1013,2022-01-05 12:59:59.999,139067345.856142,91620.0,16939.7399,64661464.713723,0.0
27,2022-01-05 13:00:00,3791.69,3833.0,3761.44,3820.97,46181.368,2022-01-05 16:59:59.999,175555617.820581,117058.0,22232.3974,84550600.691678,0.0
28,2022-01-05 17:00:00,3820.97,3823.33,3645.6,3655.3,91109.249,2022-01-05 20:59:59.999,339920907.379565,195018.0,40578.1069,151540395.168143,0.0
29,2022-01-05 21:00:00,3655.29,3666.14,3415.0,3540.63,174875.8383,2022-01-06 00:59:59.999,622522470.390435,419874.0,80196.5927,285748227.319105,0.0
30,2022-01-06 01:00:00,3539.82,3550.43,3445.75,3448.83,84114.4064,2022-01-06 04:59:59.999,295093340.17733,166163.0,42068.0912,147589812.496037,0.0
31,2022-01-06 05:00:00,3448.83,3480.42,3406.24,3453.12,95682.8549,2022-01-06 08:59:59.999,329840957.030643,188459.0,50377.3692,173716354.177117,0.0
32,2022-01-06 09:00:00,3453.04,3456.05,3300.0,3349.49,134482.5845,2022-01-06 12:59:59.999,452627771.117099,262055.0,63663.6028,214323688.538808,0.0
33,2022-01-06 13:00:00,3349.49,3426.0,3318.0,3397.01,88961.6632,2022-01-06 16:59:59.999,300756004.391049,182744.0,48355.7676,163485504.484899,0.0
34,2022-01-06 17:00:00,3397.01,3461.33,3382.11,3447.29,61229.4441,2022-01-06 20:59:59.999,209758252.985102,129252.0,30181.1988,103364350.287759,0.0
35,2022-01-06 21:00:00,3447.28,3458.73,3405.74,3406.81,32274.7882,2022-01-07 00:59:59.999,110651311.663803,77606.0,15890.4532,54459020.315928,0.0
36,2022-01-07 01:00:00,3406.81,3416.76,3227.82,3238.74,98869.0497,2022-01-07 04:59:59.999,328276468.717438,201449.0,46070.8503,153175336.042616,0.0
37,2022-01-07 05:00:00,3238.74,3251.42,3113.25,3202.25,182082.1687,2022-01-07 08:59:59.999,581047396.529756,329891.0,90535.1931,288909787.479621,0.0
38,2022-01-07 09:00:00,3201.75,3289.0,3188.01,3225.68,90340.7723,2022-01-07 12:59:59.999,292644370.21704,183521.0,47043.1577,152430703.453942,0.0
39,2022-01-07 13:00:00,3225.86,3268.79,3064.42,3131.69,163786.6234,2022-01-07 16:59:59.999,519855250.579133,300463.0,77684.4628,246748472.604914,0.0
40,2022-01-07 17:00:00,3131.69,3222.69,3091.0,3197.32,93458.9422,2022-01-07 20:59:59.999,296176887.610902,196547.0,49060.3424,155501713.280026,0.0
41,2022-01-07 21:00:00,3197.33,3225.24,3165.17,3199.24,41094.1699,2022-01-08 00:59:59.999,131562399.674988,95720.0,19026.1258,60917040.252959,0.0
42,2022-01-08 01:00:00,3198.68,3246.7,3181.0,3203.5,41016.563,2022-01-08 04:59:59.999,131816875.403001,93370.0,20102.6951,64615700.250738,0.0
43,2022-01-08 05:00:00,3203.77,3230.01,3191.5,3216.13,35052.4863,2022-01-08 08:59:59.999,112619043.340637,76045.0,17374.7641,55807691.168845,0.0
44,2022-01-08 09:00:00,3216.14,3250.0,3198.64,3219.95,47637.1342,2022-01-08 12:59:59.999,153596349.313021,90389.0,23616.4843,76143658.614607,0.0
45,2022-01-08 13:00:00,3219.96,3230.33,3147.09,3160.72,51005.6013,2022-01-08 16:59:59.999,162558388.065714,112079.0,22718.0049,72367593.260057,0.0
46,2022-01-08 17:00:00,3160.33,3180.0,3000.0,3028.75,151772.3231,2022-01-08 20:59:59.999,464414941.127386,286619.0,70247.3927,215017411.899086,0.0
