,OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore
0,2022-01-01 01:00:00,3676.22,3776.45,3673.46,3765.54,154143.8968,2022-01-02 00:59:59.999,574718328.452744,408666.0,76937.9798,286855413.588924,0.0
1,2022-01-02 01:00:00,3765.54,3857.44,3717.3,3828.27,154791.4263,2022-01-03 00:59:59.999,585374957.73046,450610.0,81170.5053,307056603.74279,0.0
2,2022-01-03 01:00:00,3828.11,3853.09,3680.0,3765.89,236245.8586,2022-01-04 00:59:59.999,892944105.552994,594541.0,114525.6299,433084435.776656,0.0
3,2022-01-04 01:00:00,3765.89,3900.73,3713.11,3785.11,288258.5549,2022-01-05 00:59:59.999,1098182607.925726,676651.0,147451.4285,561958201.762099,0.0
4,2022-01-05 01:00:00,3785.1,3848.0,3415.0,3540.63,397942.0363,2022-01-06 00:59:59.999,1464819255.093511,962670.0,183641.1134,676663293.71856,0.0
5,2022-01-06 01:00:00,3539.82,3550.43,3300.0,3406.81,496745.7413,2022-01-07 00:59:59.999,1698727637.365026,1006279.0,250536.4828,856938730.300548,0.0
6,2022-01-07 01:00:00,3406.81,3416.76,3064.42,3199.24,669631.7262,2022-01-08 00:59:59.999,2149562773.329257,1307591.0,329420.1321,1057683053.114078,0.0
7,2022-01-08 01:00:00,3198.68,3250.0,3000.0,3080.95,400692.1061,2022-01-09 00:59:59.999,1252795163.486269,814600.0,192818.0544,602863815.601238,0.0
8,2022-01-09 01:00:00,3080.98,3211.72,3057.35,3151.97,275874.1643,2022-01-10 00:59:59.999,864505480.881738,591523.0,140931.0384,441833198.219928,0.0
9,2022-01-10 01:00:00,3151.97,3185.0,2928.83,3082.68,529818.3866,2022-01-11 00:59:59.999,1616550523.097201,935157.0,259668.2416,792807641.846424,0.0
10,2022-01-11 01:00:00,3082.87,3263.54,3051.8,3239.72,362446.7087,2022-01-12 00:59:59.999,1145852583.62298,668961.0,184190.5779,582792200.298909,0.0
